system   D            wsystem.c:583  maybe_parent_dir                 [   0.00123] Also searching C:\Users\Connor\Documents\BaseGame-4\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00168] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00171] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.04113] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.34487] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.34492] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.34583] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.34586] al_display=00131AF0
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.34588] al_display->vt=000DD418
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.35655] found 64 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.35659] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35661] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.35663] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35664] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.35665] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35667] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.35668] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35670] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.35671] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35673] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.35674] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35676] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.35677] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35678] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.35680] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35681] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.35682] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35684] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.35685] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35687] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.35688] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35689] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.35691] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35699] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.35701] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35702] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.35703] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35705] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.35706] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35708] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.35709] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35710] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.35712] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35713] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35714] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35716] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35717] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35719] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35720] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35722] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35723] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35724] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35726] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35727] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35729] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35730] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35731] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35733] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35734] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35736] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35737] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35739] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35740] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35741] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35743] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35745] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35746] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35747] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35749] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35750] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35752] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35753] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35754] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35756] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35757] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35759] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.35760] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35761] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.35763] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35764] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.35765] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35767] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.35768] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35770] Score is : 769
